id_cliente,age,job,marital,education,default,housing,loan
65,48,admin.,married,high.school,no,no,no
66,37,admin.,married,university.degree,no,no,no
67,44,blue-collar,single,basic.9y,no,yes,no
68,33,admin.,married,unknown,no,yes,no
69,56,admin.,married,basic.9y,no,yes,no
70,44,blue-collar,single,basic.4y,unknown,yes,yes
71,41,management,married,basic.6y,no,no,no
72,44,management,divorced,university.degree,no,yes,no
73,47,admin.,married,university.degree,unknown,yes,no
74,57,unknown,married,unknown,unknown,no,no
75,37,admin.,married,university.degree,unknown,yes,no
76,41,blue-collar,divorced,basic.4y,unknown,yes,no
77,55,technician,married,university.degree,no,no,no
78,33,services,married,high.school,unknown,yes,no
79,55,management,married,unknown,unknown,yes,no
80,42,blue-collar,married,basic.9y,unknown,no,no
81,50,blue-collar,married,basic.4y,unknown,yes,no
82,51,blue-collar,married,basic.4y,unknown,unknown,unknown
83,38,admin.,married,high.school,unknown,no,no
84,49,entrepreneur,married,university.degree,unknown,yes,no
85,38,technician,single,university.degree,no,no,yes
86,31,admin.,divorced,high.school,no,no,no
87,41,management,married,basic.6y,no,no,no
88,39,admin.,married,university.degree,no,yes,yes
89,49,technician,married,basic.9y,no,no,no
90,34,admin.,married,high.school,no,yes,no
91,35,admin.,married,university.degree,no,yes,no
92,57,unknown,married,unknown,unknown,yes,no
93,60,admin.,married,unknown,unknown,no,yes
94,33,unemployed,married,basic.9y,no,no,no
95,42,blue-collar,married,basic.6y,no,no,yes
96,45,services,married,professional.course,no,yes,no
97,42,management,married,university.degree,no,no,no
98,53,admin.,divorced,university.degree,unknown,no,no
99,37,technician,single,professional.course,no,no,no
100,44,blue-collar,married,basic.6y,no,no,no
101,54,services,married,unknown,no,yes,no
102,49,blue-collar,married,basic.4y,no,no,no
103,54,services,married,unknown,no,no,no
104,52,admin.,divorced,university.degree,no,no,no
105,52,admin.,divorced,university.degree,no,no,no
106,43,services,single,high.school,unknown,no,no
107,34,housemaid,married,basic.6y,no,yes,no
108,35,admin.,married,high.school,no,yes,no
109,42,entrepreneur,married,unknown,unknown,yes,no
110,43,technician,married,unknown,unknown,yes,yes
111,60,retired,divorced,university.degree,unknown,no,no
112,58,unemployed,married,basic.4y,unknown,no,no
113,35,services,divorced,high.school,no,yes,no
114,55,blue-collar,married,basic.9y,unknown,yes,no
115,37,management,married,university.degree,no,no,no
116,36,blue-collar,married,high.school,no,no,no
117,52,admin.,divorced,university.degree,no,no,no
118,57,blue-collar,divorced,unknown,unknown,yes,no
119,56,admin.,married,unknown,no,yes,no
120,48,blue-collar,divorced,basic.4y,unknown,yes,no
121,40,blue-collar,married,high.school,unknown,yes,no
122,49,blue-collar,divorced,high.school,no,no,no
123,41,services,married,high.school,no,no,no
124,45,technician,married,high.school,no,yes,no
125,32,admin.,married,university.degree,no,yes,yes
126,42,admin.,married,university.degree,no,no,yes
127,50,admin.,married,basic.6y,no,no,no
128,31,technician,divorced,professional.course,no,yes,yes
129,56,retired,married,basic.4y,no,yes,no
130,41,technician,married,professional.course,unknown,yes,no
131,37,blue-collar,married,basic.6y,no,yes,yes
132,41,technician,married,professional.course,unknown,no,no
133,35,blue-collar,married,unknown,no,yes,no
134,37,blue-collar,married,basic.6y,no,yes,no
135,52,management,married,university.degree,no,no,no
136,39,management,divorced,university.degree,no,no,no
137,39,housemaid,married,basic.4y,unknown,no,no
138,56,blue-collar,married,basic.4y,unknown,no,no
139,34,services,married,high.school,no,yes,no
140,45,blue-collar,married,basic.9y,unknown,yes,no
141,43,unemployed,single,university.degree,no,yes,no
142,56,management,married,unknown,no,yes,no
143,39,management,married,university.degree,no,yes,no
144,53,blue-collar,married,basic.4y,no,yes,no
145,38,unknown,divorced,high.school,unknown,yes,no
146,42,blue-collar,married,basic.4y,unknown,yes,no
147,42,blue-collar,married,basic.4y,unknown,no,no
148,35,admin.,single,high.school,no,yes,no
149,40,admin.,married,university.degree,unknown,yes,no
150,51,blue-collar,married,basic.4y,no,yes,no
151,60,blue-collar,married,basic.9y,unknown,no,no
152,56,entrepreneur,married,unknown,unknown,yes,no
153,39,services,divorced,high.school,unknown,yes,no
154,56,entrepreneur,married,unknown,unknown,no,no
155,40,blue-collar,married,unknown,no,yes,yes
156,36,blue-collar,married,basic.9y,no,yes,yes
157,51,blue-collar,married,unknown,unknown,yes,no
158,51,blue-collar,married,unknown,unknown,no,no
159,43,technician,single,professional.course,no,yes,no
160,59,services,married,high.school,no,no,no
161,24,management,single,university.degree,no,yes,no
162,37,blue-collar,single,basic.9y,unknown,yes,yes
163,40,blue-collar,married,basic.9y,unknown,no,no
164,42,blue-collar,married,basic.9y,unknown,no,no
165,39,services,divorced,high.school,unknown,no,no
166,37,entrepreneur,married,basic.6y,no,no,no
167,38,services,married,high.school,no,yes,yes
168,56,admin.,divorced,unknown,unknown,no,no
169,40,blue-collar,married,unknown,no,no,no
170,54,management,divorced,university.degree,no,yes,no
171,43,blue-collar,married,high.school,unknown,no,yes
172,36,services,married,high.school,unknown,no,no
173,45,technician,married,university.degree,no,yes,yes
174,42,admin.,single,university.degree,unknown,no,no
175,43,services,married,high.school,no,no,no
176,46,management,married,basic.9y,no,no,no
177,44,services,married,high.school,no,yes,yes
178,51,admin.,single,basic.6y,no,no,no
179,28,services,married,high.school,no,yes,no
180,37,blue-collar,married,basic.9y,no,no,no
181,34,technician,married,high.school,no,no,no
182,46,blue-collar,married,basic.6y,unknown,yes,no
183,42,blue-collar,married,basic.9y,no,yes,yes
184,36,admin.,married,university.degree,no,yes,no
185,54,blue-collar,married,basic.4y,unknown,no,no
186,57,management,married,university.degree,no,no,no
187,51,technician,married,basic.6y,unknown,no,no
188,54,retired,married,high.school,unknown,no,no
189,49,blue-collar,married,basic.4y,unknown,no,no
190,34,admin.,married,university.degree,no,yes,no
191,41,technician,married,professional.course,no,no,no
192,38,blue-collar,single,basic.9y,no,yes,no
193,45,management,divorced,university.degree,no,no,no
194,42,technician,married,university.degree,no,no,no
195,34,blue-collar,single,basic.9y,unknown,yes,no
196,48,blue-collar,married,basic.4y,no,yes,no
197,37,admin.,married,high.school,unknown,yes,no
198,34,blue-collar,single,basic.9y,unknown,no,no
199,40,admin.,married,basic.9y,unknown,yes,no
200,43,blue-collar,married,basic.6y,no,yes,no
201,33,services,married,high.school,no,no,no
202,32,services,single,basic.6y,no,no,no
203,39,blue-collar,married,high.school,no,yes,no
204,43,admin.,married,unknown,no,no,no
205,44,blue-collar,married,basic.9y,no,yes,no
206,35,student,single,university.degree,unknown,no,no
207,35,student,single,university.degree,unknown,yes,yes
208,35,unemployed,married,professional.course,no,no,no
209,36,services,single,basic.4y,no,no,no
210,35,student,single,university.degree,unknown,yes,no
211,36,student,single,basic.9y,no,yes,no
212,55,housemaid,divorced,university.degree,no,no,no
213,59,admin.,married,university.degree,no,no,no
214,57,retired,married,unknown,unknown,no,no
215,39,blue-collar,married,professional.course,unknown,yes,no
216,39,housemaid,married,basic.4y,unknown,yes,no
217,30,blue-collar,single,unknown,no,yes,no
218,30,blue-collar,single,unknown,no,yes,yes
219,50,housemaid,married,basic.4y,unknown,no,no
220,40,services,married,high.school,no,no,no
221,35,admin.,married,high.school,no,yes,no
222,43,technician,married,unknown,unknown,no,no
223,36,services,single,basic.6y,unknown,yes,no
224,46,technician,married,basic.4y,unknown,yes,no
225,40,technician,married,basic.9y,no,no,no
226,58,retired,married,university.degree,no,no,no
227,42,technician,married,university.degree,no,no,no
228,35,admin.,single,university.degree,no,no,no
229,43,retired,married,basic.4y,unknown,no,no
230,45,blue-collar,married,basic.4y,no,yes,yes
231,39,admin.,married,professional.course,no,yes,no
232,50,services,divorced,professional.course,no,yes,no
233,32,management,divorced,basic.4y,unknown,yes,no
234,39,admin.,married,high.school,unknown,no,no
235,52,self-employed,married,university.degree,unknown,no,no
236,44,admin.,married,professional.course,no,yes,no
237,56,blue-collar,married,basic.4y,no,no,no
238,48,admin.,married,high.school,no,no,no
239,33,services,married,high.school,unknown,no,yes
240,43,management,married,university.degree,unknown,no,yes
241,57,retired,married,high.school,no,no,no
242,36,technician,single,professional.course,no,no,no
243,34,management,married,university.degree,no,yes,no
244,34,services,single,basic.9y,no,no,no
245,30,technician,married,university.degree,unknown,no,no
246,33,services,divorced,unknown,no,no,no
247,32,technician,single,professional.course,no,no,no
248,36,technician,single,high.school,no,yes,no
249,36,blue-collar,single,high.school,no,no,yes
250,33,services,single,high.school,no,no,no
251,40,technician,divorced,professional.course,no,no,no
252,41,blue-collar,married,basic.4y,no,yes,no
253,51,services,married,basic.6y,no,yes,no
254,36,technician,married,professional.course,no,yes,no
255,28,services,married,unknown,no,no,no
256,53,services,married,high.school,no,yes,yes
257,58,blue-collar,married,basic.9y,unknown,yes,no
258,45,management,married,basic.9y,no,no,yes
259,43,technician,married,unknown,no,yes,no
260,33,admin.,married,high.school,no,no,yes
261,33,admin.,married,high.school,no,no,yes
262,27,blue-collar,single,basic.6y,no,unknown,unknown
263,42,technician,married,high.school,no,no,no
264,43,admin.,divorced,basic.9y,no,no,no
265,42,admin.,married,university.degree,no,no,no
266,27,blue-collar,single,basic.6y,no,no,no
267,34,self-employed,single,university.degree,no,yes,no
268,31,student,single,university.degree,unknown,no,no
269,54,management,divorced,university.degree,no,no,no
270,40,self-employed,married,basic.4y,unknown,no,no
271,52,unemployed,married,high.school,unknown,yes,no
272,47,management,divorced,university.degree,no,no,no
273,49,housemaid,married,basic.9y,unknown,no,no
274,32,admin.,single,high.school,no,no,no
275,49,housemaid,single,high.school,unknown,yes,yes
276,50,blue-collar,married,basic.9y,unknown,no,no
277,34,services,married,high.school,no,no,no
278,55,blue-collar,married,basic.4y,unknown,no,no
279,47,technician,single,basic.9y,no,no,no
280,51,retired,married,professional.course,no,no,no
281,47,blue-collar,married,basic.6y,no,no,no
282,56,technician,married,basic.4y,no,yes,no
283,53,admin.,married,basic.9y,no,no,no
284,36,blue-collar,married,basic.9y,no,yes,no
285,42,blue-collar,divorced,basic.9y,no,yes,no
286,44,blue-collar,divorced,basic.6y,no,no,no
287,39,housemaid,married,basic.9y,no,yes,no
288,37,admin.,single,high.school,no,yes,yes
289,60,blue-collar,married,unknown,unknown,yes,no
290,36,services,married,high.school,no,no,no
291,42,management,divorced,university.degree,no,yes,no
292,31,admin.,married,high.school,no,yes,yes
293,53,technician,divorced,professional.course,unknown,no,yes
294,45,blue-collar,married,basic.4y,no,yes,no
295,37,technician,single,professional.course,no,yes,no
296,47,self-employed,married,professional.course,no,no,no
297,49,blue-collar,divorced,high.school,no,no,yes
298,36,admin.,married,university.degree,no,yes,no
299,35,services,divorced,high.school,no,no,no
300,38,unknown,married,unknown,unknown,no,no
301,38,services,single,high.school,unknown,no,no
302,50,blue-collar,divorced,high.school,unknown,no,yes
303,59,retired,married,professional.course,unknown,no,no
304,43,unknown,married,unknown,no,yes,no
305,42,admin.,married,high.school,no,yes,no
306,40,admin.,married,basic.6y,unknown,yes,no
307,46,blue-collar,married,unknown,unknown,no,no
308,57,housemaid,divorced,basic.4y,no,yes,yes
309,42,admin.,married,university.degree,no,yes,no
310,41,blue-collar,married,basic.4y,no,yes,no
311,54,management,divorced,university.degree,no,yes,no
312,27,admin.,single,university.degree,no,no,no
313,36,admin.,married,high.school,no,no,no
314,58,blue-collar,married,professional.course,unknown,yes,no
315,40,management,married,university.degree,unknown,yes,no
316,34,admin.,single,basic.9y,unknown,no,no
317,33,admin.,divorced,high.school,no,no,no
318,56,retired,married,basic.6y,no,no,no
319,42,blue-collar,married,basic.9y,no,no,no
320,43,services,married,high.school,no,yes,no
321,54,management,single,basic.9y,no,yes,no
322,53,admin.,single,basic.6y,no,yes,yes
323,42,technician,single,unknown,no,no,no
324,40,services,married,basic.6y,unknown,no,no
325,54,technician,married,professional.course,no,yes,yes
326,40,housemaid,single,professional.course,no,no,no
327,26,admin.,single,university.degree,no,yes,no
328,33,admin.,married,high.school,no,no,no
329,35,blue-collar,married,basic.9y,unknown,no,no
330,36,admin.,married,high.school,no,no,no
331,29,services,single,high.school,no,yes,no
332,36,blue-collar,married,basic.9y,no,yes,no
333,35,management,married,high.school,no,yes,no
334,50,self-employed,single,university.degree,no,no,yes
335,46,services,married,high.school,unknown,yes,no
336,49,entrepreneur,married,high.school,no,yes,no
337,42,technician,single,professional.course,unknown,yes,no
338,36,blue-collar,single,high.school,no,yes,yes
339,55,blue-collar,married,basic.9y,unknown,yes,no
340,41,management,married,university.degree,unknown,no,no
341,57,management,married,professional.course,unknown,yes,no
342,32,services,single,high.school,no,yes,no
343,49,admin.,married,basic.9y,no,no,no
344,57,unknown,married,unknown,unknown,yes,no
345,58,blue-collar,divorced,basic.4y,no,yes,no
346,52,technician,married,high.school,no,yes,no
347,50,services,divorced,professional.course,no,no,no
348,41,blue-collar,single,basic.9y,unknown,yes,no
349,33,entrepreneur,married,university.degree,no,yes,no
350,57,blue-collar,married,basic.4y,no,no,no
351,48,blue-collar,married,basic.6y,unknown,no,no
352,55,technician,married,professional.course,no,no,no
353,38,management,married,university.degree,no,no,no
354,38,services,married,high.school,no,yes,no
355,53,admin.,married,university.degree,no,yes,no
356,43,unemployed,single,university.degree,no,no,no
357,36,blue-collar,single,high.school,no,no,no
358,32,blue-collar,married,basic.9y,no,no,no
359,33,services,married,basic.4y,no,no,no
360,58,entrepreneur,married,basic.4y,no,yes,no
361,40,unemployed,divorced,high.school,unknown,no,no
362,57,management,married,university.degree,no,yes,no
363,45,technician,married,high.school,no,yes,no
364,42,blue-collar,married,basic.4y,unknown,yes,no
365,46,admin.,married,university.degree,no,yes,no
366,36,technician,married,university.degree,no,no,no
367,41,self-employed,married,high.school,no,yes,no
368,57,admin.,divorced,basic.9y,no,no,no
369,49,blue-collar,married,basic.9y,unknown,yes,no
370,56,management,divorced,high.school,no,no,no
371,37,blue-collar,married,basic.9y,no,no,no
372,37,blue-collar,married,basic.9y,no,no,yes
373,46,admin.,single,high.school,no,yes,no
374,22,blue-collar,single,basic.9y,no,yes,no
375,43,services,married,high.school,no,no,no
376,49,blue-collar,married,unknown,no,no,no
377,41,technician,married,basic.6y,no,yes,no
378,38,admin.,single,university.degree,no,no,no
379,33,admin.,married,basic.9y,no,no,no
380,49,admin.,married,university.degree,no,yes,yes
381,30,blue-collar,single,unknown,no,no,no
382,33,admin.,married,basic.9y,no,yes,no
383,34,management,single,university.degree,no,no,no
384,30,student,single,unknown,unknown,no,no
385,59,management,married,basic.4y,unknown,yes,yes
386,59,management,married,basic.4y,unknown,unknown,unknown
387,41,self-employed,married,university.degree,no,no,no
388,48,housemaid,married,basic.6y,unknown,yes,yes
389,28,unknown,single,unknown,unknown,yes,yes
390,44,services,married,high.school,no,yes,no
391,59,retired,unknown,university.degree,unknown,no,no
392,50,management,married,high.school,unknown,no,no
393,35,admin.,married,university.degree,no,no,no
394,42,admin.,married,high.school,no,no,no
395,45,admin.,married,basic.9y,no,no,no
396,36,technician,married,professional.course,no,no,no
397,56,services,married,high.school,unknown,no,no
398,29,blue-collar,divorced,basic.4y,no,no,no
399,41,self-employed,married,university.degree,no,yes,yes
400,42,blue-collar,married,basic.9y,unknown,no,no
401,52,services,single,high.school,no,no,no
402,48,services,married,high.school,unknown,unknown,unknown
403,31,blue-collar,married,high.school,unknown,yes,no
404,43,unemployed,married,university.degree,unknown,yes,no
405,36,blue-collar,married,basic.4y,unknown,no,no
406,42,entrepreneur,married,university.degree,no,yes,no
407,52,services,divorced,basic.6y,no,no,no
408,39,admin.,married,high.school,no,yes,no
409,36,services,married,high.school,no,no,yes
410,42,blue-collar,married,basic.9y,unknown,yes,no
411,41,admin.,married,high.school,no,no,no
412,55,technician,married,basic.4y,no,no,yes
413,30,blue-collar,married,basic.9y,no,no,no
414,57,retired,unknown,basic.4y,no,no,no
415,45,entrepreneur,married,basic.4y,unknown,yes,no
416,51,blue-collar,married,basic.4y,unknown,yes,yes
417,39,self-employed,single,basic.9y,unknown,yes,yes
418,47,admin.,married,high.school,unknown,no,no
419,27,services,married,high.school,no,yes,no
420,34,technician,single,university.degree,no,yes,no
421,57,blue-collar,married,basic.4y,unknown,yes,no
422,43,entrepreneur,married,basic.4y,no,no,no
423,49,blue-collar,married,basic.4y,unknown,no,no
424,39,management,married,university.degree,unknown,no,no
425,38,blue-collar,married,basic.4y,unknown,yes,no
426,49,blue-collar,married,basic.9y,no,no,no
427,58,management,married,basic.6y,no,no,no
428,43,technician,married,professional.course,no,yes,no
429,50,unknown,married,unknown,unknown,yes,no
430,31,services,married,high.school,unknown,no,no
431,43,self-employed,divorced,university.degree,no,no,no
432,43,self-employed,married,basic.9y,unknown,no,no
433,30,self-employed,single,university.degree,no,yes,no
434,27,services,single,professional.course,no,yes,yes
435,51,services,married,unknown,unknown,no,no
436,37,technician,married,professional.course,no,yes,no
437,46,housemaid,married,basic.9y,no,yes,no
438,35,blue-collar,married,professional.course,no,no,no
439,47,admin.,divorced,university.degree,no,no,no
440,46,management,married,unknown,no,yes,no
441,40,technician,married,professional.course,unknown,no,yes
442,26,housemaid,married,university.degree,no,no,no
443,32,blue-collar,divorced,basic.9y,unknown,no,no
444,45,management,married,university.degree,no,yes,no
445,34,admin.,married,basic.9y,no,no,no
446,47,blue-collar,married,unknown,unknown,no,no
447,42,technician,married,professional.course,no,no,no
448,57,technician,married,basic.4y,unknown,no,yes
449,57,technician,married,basic.4y,unknown,no,no
450,38,blue-collar,married,basic.4y,no,no,yes
451,57,technician,married,basic.4y,unknown,no,no
452,28,student,single,basic.9y,unknown,yes,no
453,60,management,married,university.degree,no,no,no
454,48,admin.,married,university.degree,no,yes,no
455,47,technician,married,professional.course,no,yes,no
456,40,admin.,married,high.school,no,no,no
457,51,management,married,professional.course,unknown,yes,no
458,48,unemployed,single,basic.4y,no,yes,no
459,54,housemaid,married,basic.4y,no,no,no
460,40,blue-collar,married,basic.6y,no,no,yes
461,44,admin.,single,basic.9y,unknown,no,no
462,42,technician,divorced,high.school,no,no,no
463,52,self-employed,married,university.degree,no,yes,no
464,31,blue-collar,single,basic.9y,no,yes,no
465,32,services,married,high.school,no,no,no
466,44,admin.,married,high.school,no,yes,yes
467,39,management,married,basic.6y,unknown,no,no
468,57,management,married,professional.course,unknown,yes,no
469,52,admin.,married,basic.4y,no,yes,no
470,42,management,married,university.degree,no,no,no
471,42,technician,single,professional.course,unknown,unknown,unknown
472,43,management,married,professional.course,no,yes,no
473,31,admin.,divorced,high.school,no,no,no
474,29,admin.,married,university.degree,unknown,yes,no
475,57,blue-collar,divorced,basic.4y,no,no,no
476,44,blue-collar,married,basic.9y,unknown,no,no
477,59,unknown,married,unknown,unknown,no,no
478,39,blue-collar,married,basic.4y,unknown,no,no
479,57,retired,married,university.degree,no,no,no
480,41,management,married,unknown,unknown,no,no
481,37,technician,single,high.school,unknown,no,yes
482,38,services,married,high.school,no,yes,no
483,42,retired,married,basic.4y,no,no,no
484,49,unknown,married,unknown,unknown,yes,no
485,54,management,married,basic.6y,unknown,yes,yes
486,36,admin.,married,university.degree,no,unknown,unknown
487,32,admin.,single,university.degree,unknown,no,no
488,35,technician,married,professional.course,no,yes,no
489,45,housemaid,married,professional.course,unknown,no,no
490,56,technician,married,unknown,no,yes,no
491,34,technician,married,university.degree,no,yes,no
492,41,unemployed,married,basic.9y,unknown,no,no
493,41,services,married,basic.9y,no,no,no
494,36,blue-collar,married,basic.9y,unknown,no,no
495,32,admin.,single,university.degree,unknown,unknown,unknown
496,31,services,married,high.school,unknown,unknown,unknown
497,38,technician,married,professional.course,no,yes,no
498,35,admin.,divorced,university.degree,unknown,yes,no
499,53,admin.,married,professional.course,no,yes,no
500,51,admin.,married,basic.6y,unknown,yes,no
501,56,entrepreneur,married,university.degree,unknown,no,no
502,33,admin.,married,basic.9y,no,unknown,unknown
503,33,admin.,married,basic.9y,no,no,no
504,51,services,divorced,high.school,unknown,yes,no
505,39,services,married,high.school,unknown,yes,no
506,45,entrepreneur,married,university.degree,no,no,no
507,40,technician,single,university.degree,no,no,no
508,60,unknown,single,unknown,unknown,yes,no
509,33,technician,married,university.degree,no,yes,no
510,47,blue-collar,married,high.school,unknown,yes,no
511,48,blue-collar,married,basic.4y,no,no,no
512,43,entrepreneur,married,high.school,no,no,no
513,37,management,married,university.degree,no,yes,no
514,50,services,married,basic.9y,no,yes,yes
515,59,entrepreneur,married,high.school,no,yes,no
516,32,technician,married,unknown,unknown,yes,no
517,42,housemaid,single,basic.4y,unknown,yes,no
518,52,blue-collar,married,basic.4y,no,no,no
519,42,blue-collar,married,unknown,unknown,no,no
520,42,admin.,married,unknown,no,no,no
521,40,management,married,basic.9y,unknown,unknown,unknown
522,38,blue-collar,married,basic.9y,no,no,no
523,39,blue-collar,married,basic.6y,no,yes,no
524,39,blue-collar,married,basic.6y,no,no,no
525,38,admin.,married,high.school,no,no,no
526,47,admin.,single,unknown,unknown,yes,no
527,30,services,single,high.school,no,no,no
528,38,admin.,divorced,high.school,no,yes,yes
529,39,technician,divorced,university.degree,no,no,no
530,44,admin.,married,high.school,no,no,no
531,36,admin.,married,high.school,no,no,no
532,41,services,married,high.school,unknown,yes,yes
533,41,blue-collar,married,basic.6y,no,no,no
534,35,blue-collar,married,basic.9y,no,no,no
535,41,technician,married,high.school,no,no,no
536,36,services,married,high.school,unknown,no,no
537,35,admin.,single,high.school,no,yes,yes
538,33,blue-collar,single,basic.4y,unknown,no,no
539,38,admin.,single,basic.6y,unknown,no,no
540,33,self-employed,married,university.degree,no,no,no
541,55,self-employed,married,unknown,unknown,no,no
542,36,blue-collar,single,basic.9y,unknown,no,no
543,57,technician,married,professional.course,unknown,no,yes
544,32,entrepreneur,single,university.degree,no,yes,no
545,30,self-employed,single,high.school,no,yes,no
546,43,admin.,married,professional.course,no,yes,yes
547,46,admin.,married,university.degree,no,no,no
548,35,admin.,divorced,high.school,no,no,yes
549,34,admin.,single,university.degree,no,yes,yes
550,50,blue-collar,married,basic.4y,unknown,unknown,unknown
551,39,admin.,single,university.degree,no,no,no
552,39,blue-collar,married,basic.9y,unknown,no,no
553,42,entrepreneur,married,basic.6y,no,no,no
554,57,retired,married,university.degree,no,yes,no
555,45,blue-collar,married,basic.4y,unknown,no,no
556,40,technician,married,basic.4y,no,no,yes
557,42,blue-collar,married,high.school,no,no,yes
558,40,technician,married,basic.4y,no,no,no
559,38,blue-collar,single,basic.4y,unknown,no,no
560,39,blue-collar,married,basic.6y,unknown,yes,yes
561,41,blue-collar,married,basic.4y,no,no,no
562,39,blue-collar,married,basic.6y,unknown,yes,no
563,41,blue-collar,married,basic.4y,no,yes,yes
564,45,admin.,married,university.degree,unknown,no,no
565,35,admin.,divorced,university.degree,no,unknown,unknown
566,35,admin.,married,basic.6y,no,yes,no
567,49,blue-collar,married,high.school,unknown,no,no
568,36,technician,married,unknown,no,no,no
569,23,admin.,single,university.degree,no,no,no
570,43,unemployed,married,university.degree,unknown,unknown,unknown
571,49,entrepreneur,married,professional.course,no,unknown,unknown
572,36,technician,married,professional.course,no,unknown,unknown
573,51,blue-collar,married,basic.9y,unknown,yes,no
574,56,retired,married,basic.4y,unknown,yes,yes
575,45,housemaid,married,high.school,no,no,no
576,42,admin.,married,high.school,no,no,no
577,41,admin.,divorced,high.school,no,no,no
578,32,services,married,high.school,unknown,no,yes
579,46,management,married,university.degree,no,no,no
580,37,blue-collar,married,unknown,no,no,no
581,53,management,married,university.degree,unknown,no,no
582,30,blue-collar,married,basic.4y,no,no,no
583,45,unknown,married,unknown,unknown,no,no
584,24,technician,single,professional.course,no,no,yes
585,45,unknown,married,unknown,unknown,no,no
586,34,admin.,single,university.degree,no,no,yes
587,41,management,married,university.degree,unknown,no,no
588,59,blue-collar,married,basic.4y,no,yes,no
589,45,blue-collar,married,basic.4y,unknown,no,no
590,54,blue-collar,married,basic.6y,unknown,no,no
591,32,technician,married,professional.course,no,no,no
592,33,technician,married,professional.course,no,yes,no
593,32,admin.,married,university.degree,no,no,no
594,34,services,single,high.school,no,unknown,unknown
595,46,management,married,university.degree,no,no,no
596,57,technician,married,professional.course,no,yes,no
597,42,technician,married,basic.9y,no,no,no
598,48,admin.,married,professional.course,no,yes,no
599,58,admin.,divorced,university.degree,unknown,yes,no
600,34,services,married,high.school,no,no,no
601,32,admin.,single,university.degree,no,yes,yes
602,48,blue-collar,married,basic.9y,no,no,no
603,47,blue-collar,married,basic.9y,no,no,no
604,31,services,married,high.school,unknown,no,no
605,32,admin.,single,university.degree,no,yes,no
606,32,admin.,single,university.degree,no,no,no
607,36,services,married,high.school,no,no,no
608,53,blue-collar,married,basic.4y,unknown,no,yes
609,37,blue-collar,married,basic.9y,unknown,no,no
610,50,services,married,high.school,no,no,no
611,46,blue-collar,married,basic.6y,no,yes,no
612,41,admin.,married,high.school,no,no,no
613,43,blue-collar,single,basic.4y,no,no,no
614,51,management,married,university.degree,no,yes,no
